CITY,COLOR,POPULATION,STATE-RANK,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Fort Wayne,#93c47d,"267,927",12,Indiana,127.67,166,260,97.04,154,33.00%,80,September,"1,002.00",131,16.00,186,1978,73,"2,405.00",142
Madison,#93c47d,"269,840",26,Wisconsin,127.83,167,340,126.00,119,17.00%,94,November,"1,028.00",129,14.00,205,1985,121,"3,390.00",99
Ogden,#93c47d,"87,321",35,Utah,127.83,168,270,309.20,16,0.00%,141,September,501.00,166,17.00,167,1992,170,"3,169.00",107
Memphis,#93c47d,"633,104",5,Tennessee,127.83,169,380,60.02,198,-50.00%,192,August,"1,400.00",24,22.00,82,1985,113,"2,146.00",158
Chattanooga,#93c47d,"181,099",5,Tennessee,128.00,170,210,115.96,127,-75.00%,210,March,"1,365.00",29,22.00,85,1985,114,"1,272.00",203
Centennial,#93c47d,"108,418",32,Colorado,128.50,171,170,156.80,88,0.00%,142,April,484.00,168,18.00,142,1987,142,"3,648.00",89
Omaha,#93c47d,"486,051",36,Nebraska,128.83,172,420,86.41,170,29.00%,84,April,912.00,151,16.00,189,1980,81,"3,407.00",98
Indianapolis,#93c47d,"887,642",12,Indiana,129.00,173,490,55.20,200,38.00%,73,August,"1,202.00",85,17.00,153,1986,127,"2,454.00",136
Carlsbad,#93c47d,"114,746",3,California,129.67,174,230,200.44,48,-78.00%,212,December,244.00,199,21.00,115,1981,92,"3,038.00",112
Tacoma,#93c47d,"219,346",27,Washington,130.00,175,280,127.65,116,-50.00%,193,February,"1,103.00",109,16.00,180,1985,119,"4,412.00",63
Tulsa,#93c47d,"413,066",30,Oklahoma,130.00,176,250,60.52,197,20.00%,92,August,967.00,139,22.00,96,1982,96,"2,088.00",160
Springfield,#93c47d,"169,176",10,Missouri,130.00,177,140,82.75,175,33.00%,81,August,"1,233.00",70,19.00,130,1990,161,"2,035.00",163
Delano,#93c47d,"52,088",3,California,130.17,178,50,95.99,158,0.00%,143,March,163.00,213,26.00,48,1986,122,"3,494.00",97
Oklahoma City,#93c47d,"681,054",30,Oklahoma,130.17,179,540,79.29,182,100.00%,45,July,988.00,135,22.00,95,1985,115,"1,122.00",209
Aurora,#93c47d,"386,261",32,Colorado,130.33,180,310,80.26,178,333.00%,5,November,467.00,172,18.00,143,1987,143,"2,412.00",141
Arlington,#93c47d,"394,266",1,Texas,131.50,181,440,111.60,134,-64.00%,202,August,990.00,134,25.00,61,1995,184,"3,975.00",74
Greensboro,#93c47d,"299,035",14,North Carolina,131.67,182,340,113.70,132,0.00%,144,August,"1,082.00",115,21.00,109,1987,140,"2,275.00",150
Carmel,#93c47d,"99,757",12,Indiana,131.83,183,230,230.56,37,-67.00%,206,April,"1,182.00",95,17.00,159,1986,129,"2,032.00",165
Roswell,#93c47d,"92,833",13,Georgia,132.00,184,90,96.95,155,0.00%,145,July,"1,251.00",64,22.00,90,1995,189,"2,279.00",149
Phoenix,#93c47d,"1,608,139",21,Arizona,133.67,185,690,42.91,206,15.00%,96,May,174.00,212,31.00,1,1995,178,"3,102.00",109
El Paso,#93c47d,"678,815",1,Texas,134.50,186,550,81.02,177,20.00%,93,September,233.00,201,26.00,47,1990,159,"2,634.00",130
Orem,#93c47d,"98,129",35,Utah,135.00,187,260,264.96,28,-58.00%,200,December,409.00,180,18.00,148,2002,210,"5,267.00",44
Fort Worth,#93c47d,"918,915",1,Texas,135.00,188,690,75.09,186,17.00%,95,August,932.00,148,25.00,64,1995,186,"2,615.00",131
Jacksonville,#93c47d,"949,611",2,Florida,135.17,189,580,61.08,195,0.00%,146,July,"1,284.00",50,26.00,42,1994,174,"1,270.00",204
Corpus Christi,#93c47d,"317,863",1,Texas,135.67,190,350,110.11,136,-57.00%,199,January,735.00,160,27.00,31,1983,101,"1,524.00",187
Chandler,#93c47d,"275,987",21,Arizona,135.83,191,260,94.21,160,-56.00%,196,July,200.00,209,30.00,4,1995,180,"4,226.00",66
Provo,#93c47d,"115,162",35,Utah,136.33,192,190,164.98,79,50.00%,64,September,471.00,170,17.00,168,2002,211,"2,762.00",126
Des Moines,#93c47d,"214,133",19,Iowa,136.33,193,130,60.71,196,300.00%,10,April,959.00,140,16.00,188,1987,145,"2,428.00",139
Dallas,#93c47d,"1,304,379",1,Texas,136.50,194,810,62.10,194,-18.00%,161,March,984.00,136,25.00,62,1995,185,"3,840.00",81
Spokane,#93c47d,"228,989",27,Washington,137.50,195,170,74.24,187,33.00%,82,May,456.00,174,15.00,202,1979,78,"3,330.00",102
Toledo,#93c47d,"270,871",6,Ohio,137.67,196,140,51.69,202,-20.00%,164,August,"1,001.00",132,15.00,199,1968,28,"3,365.00",101
Durham,#93c47d,"283,506",14,North Carolina,138.00,197,280,98.76,151,-33.00%,176,June,"1,218.00",79,22.00,91,1996,197,"2,457.00",134
Portland,#93c47d,"652,503",22,Oregon,138.17,198,470,72.03,190,-31.00%,171,July,"1,050.00",125,17.00,165,1986,130,"4,888.00",48
Bakersfield,#93c47d,"403,455",3,California,138.83,199,400,99.14,149,-30.00%,170,August,135.00,214,26.00,49,1986,123,"2,693.00",128
Kansas City,#93c47d,"508,090",10,Missouri,139.33,200,450,88.57,163,-15.00%,159,June,"1,112.00",106,19.00,131,1981,93,"1,614.00",184
Colorado Springs,#93c47d,"478,961",32,Colorado,140.67,201,420,87.69,165,67.00%,53,April,438.00,176,18.00,146,1991,167,"2,451.00",137
Greenwood,#93c47d,"63,830",12,Indiana,142.33,202,50,78.33,183,0.00%,147,May,"1,189.00",91,17.00,157,1986,128,"2,287.00",148
Charlotte,#93c47d,"874,579",14,North Carolina,143.00,203,570,65.17,192,0.00%,148,August,"1,149.00",102,22.00,94,1997,199,"2,821.00",123
Davenport,#93c47d,"101,724",19,Iowa,143.67,204,50,49.15,204,0.00%,149,August,"1,055.00",123,16.00,184,1967,17,"1,594.00",185
East Lansing,#93c47d,"47,741",11,Michigan,144.50,205,10,20.95,213,0.00%,150,August,945.00,146,14.00,210,1974,54,"3,554.00",94
Loveland,#93c47d,"76,378",32,Colorado,145.83,206,180,235.67,34,-33.00%,177,February,392.00,182,18.00,150,1994,177,"2,219.00",155
Huntsville,#93c47d,"215,006",25,Alabama,146.33,207,60,27.91,210,0.00%,151,April,"1,388.00",26,22.00,84,1996,196,"1,006.00",211
Wyoming,#93c47d,"76,501",11,Michigan,147.83,208,20,26.14,212,0.00%,152,September,"1,033.00",127,14.00,204,1980,82,"3,092.00",110
Anchorage,#93c47d,"291,247",48,Alaska,150.17,209,310,106.44,140,133.00%,31,August,900.00,154,7.00,215,1987,146,170.60,215
Fort Collins,#93c47d,"169,810",32,Colorado,153.33,210,230,135.45,104,-50.00%,194,March,404.00,181,18.00,149,1994,176,"2,968.00",116
Augusta,#93c47d,"201,196",13,Georgia,154.67,211,160,79.52,180,-67.00%,207,July,"1,132.00",104,25.00,60,1991,163,668.00,214
Reno,#93c47d,"264,165",38,Nevada,170.83,212,230,87.07,167,-71.00%,209,May,188.00,211,20.00,125,1993,173,"2,426.00",140
