CITY,COLOR,POPULATION,STATE-RANK,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Santa Maria,#e06666,"109,707",3,California,92.00,49,240,218.76,39,0.00%,113,March,326.00,186,21.00,112,1974,52,"4,810.00",50
Towson,#e06666,"55,197",20,Maryland,92.33,50,130,235.52,35,-67.00%,204,July,"1,300.00",44,18.00,134,1978,70,"4,207.00",67
Folsom,#e06666,"80,454",3,California,92.33,51,200,248.59,30,50.00%,61,February,506.00,165,24.00,69,1985,109,"2,883.00",120
Hartford,#e06666,"121,054",39,Connecticut,92.50,52,230,190.00,57,-80.00%,215,October,"1,257.00",60,16.00,174,1968,24,"7,027.00",25
Petaluma,#e06666,"60,438",3,California,92.67,53,150,248.19,31,0.00%,114,March,614.00,163,22.00,98,1980,80,"4,146.00",70
Vallejo,#e06666,"126,090",3,California,92.67,54,200,158.62,86,200.00%,18,May,477.00,169,21.00,110,1983,102,"4,145.00",71
Sanford,#e06666,"61,051",2,Florida,92.83,55,140,229.32,38,0.00%,115,June,"1,253.00",63,28.00,16,1996,193,"2,589.00",132
Norfolk,#e06666,"238,005",8,Virginia,93.00,56,370,155.46,90,-29.00%,165,October,"1,341.00",32,21.00,106,1984,105,"4,470.00",60
St. Petersburg,#e06666,"258,308",2,Florida,93.17,57,180,69.68,191,0.00%,116,January,"1,367.00",28,27.00,21,1987,134,"4,175.00",69
San Bernardino,#e06666,"222,101",3,California,93.33,58,330,148.58,92,250.00%,12,August,276.00,195,27.00,33,1987,135,"3,574.00",93
Canton,#e06666,"70,872",6,Ohio,93.83,59,150,211.65,43,33.00%,78,July,"1,075.00",117,16.00,182,1967,16,"2,693.00",127
Tampa,#e06666,"384,959",2,Florida,94.00,60,530,137.68,100,-43.00%,181,May,"1,320.00",38,28.00,13,1987,132,"3,376.00",100
Pittsburgh,#e06666,"302,971",9,Pennsylvania,94.50,61,400,132.03,110,29.00%,83,August,975.00,138,16.00,187,1962,8,"5,471.00",41
San Francisco,#e06666,"873,965",3,California,94.83,62,660,75.52,185,64.00%,55,May,469.00,171,19.00,133,1968,22,"18,634.00",3
McAllen,#e06666,"142,210",1,Texas,94.83,63,270,189.86,58,60.00%,57,April,648.00,162,30.00,2,2001,208,"3,778.00",82
